material,strength,weight_capacity,biodegradability,co2_emission,recyclability,cost,durability,industry,co2_impact_index,cost_efficiency_index,suitability_score,type
Carbon Fiber Composite,177.68,48.23,6,348.03,57.68,148.5037,10.44,Hair Dryer,5.73,6.68,40.21,Carbon Fiber Composite
Aluminum Alloy,203.29,14.79,1,50.0,22.44,192.13645,9.21,Electric Vehicle Battery Pack,10.0,5.63,43.63,Aluminum Alloy
Lithium-ion Battery Material,154.42,31.61,8,179.67,35.88,116.73155,8.75,Electric Vehicle Battery Pack,8.14,7.45,35.99,Lithium-ion Battery Material
Carbon Fiber Composite,136.3,36.18,9,314.03,37.58,87.63024,7.67,Washing Machine,6.22,8.15,32.33,Carbon Fiber Composite
Aluminum Alloy,196.78,45.68,8,274.83,32.26,107.23531,4.86,Microwave Oven,6.78,7.68,44.08,Aluminum Alloy
ABS Plastic,283.26,35.65,9,713.5,87.27,219.46813,9.14,LED TV,0.49,4.97,62.07,ABS Plastic
Copper,127.94,8.0,8,352.49,76.26,109.52334,6.21,Hair Dryer,5.67,7.62,31.41,Copper
Aluminum Alloy,268.99,7.4,7,353.23,76.28,167.37327000000002,6.26,Laptop,5.66,6.23,59.32,Aluminum Alloy
Aluminum Alloy,246.07,22.68,3,141.01,71.16,158.80814999999998,13.42,Smartphone,8.7,6.43,53.99,Aluminum Alloy
Copper,430.48,26.55,2,369.43,55.72,256.13064,7.41,LED TV,5.42,4.08,89.45,Copper
Stainless Steel,284.78,35.28,7,318.18,57.85,211.38036,10.95,Hair Dryer,6.16,5.16,62.02,Stainless Steel
Aluminum Alloy,90.82,29.53,9,217.89,55.7,57.90136,11.74,Washing Machine,7.59,8.87,24.05,Aluminum Alloy
Silicon,261.85,31.83,5,267.52,38.71,164.64431,9.5,Smartphone,6.88,6.29,56.41,Silicon
Silicon,222.49,25.43,10,303.26,78.19,191.94692,2.34,Electric Vehicle Battery Pack,6.37,5.63,51.12,Silicon
ABS Plastic,216.9,38.55,1,92.75,34.24,191.73494,5.99,Hair Dryer,9.39,5.64,46.59,ABS Plastic
ABS Plastic,342.39,33.86,3,266.98,47.56,187.87544,8.13,Microwave Oven,6.89,5.73,72.18,ABS Plastic
Copper,210.48,34.85,8,323.51,47.68,130.72635,7.13,Washing Machine,6.08,7.11,47.14,Copper
ABS Plastic,400.2,17.67,8,207.64,48.11,257.00203,6.57,LED TV,7.74,4.06,85.43,ABS Plastic
Carbon Fiber Composite,284.14,43.31,2,303.43,25.52,255.0071,7.04,Electric Vehicle Battery Pack,6.37,4.11,59.47,Carbon Fiber Composite
Lithium-ion Battery Material,10.0,22.62,3,162.3,23.71,41.27048,8.18,Washing Machine,8.39,9.27,5.29,Lithium-ion Battery Material
Stainless Steel,382.36,1.0,2,433.5,19.55,237.74285,5.37,Laptop,4.51,4.53,78.56,Stainless Steel
Copper,413.1,42.03,4,327.24,31.15,270.86115,3.94,Tablet,6.03,3.73,85.96,Copper
Carbon Fiber Composite,199.09,4.85,4,240.66,36.22,164.09258,12.48,Refrigerator,7.27,6.31,43.56,Carbon Fiber Composite
ABS Plastic,90.07,1.0,9,179.76,36.98,86.63325,9.57,Smartphone,8.14,8.18,23.45,ABS Plastic
Polypropylene,208.24,38.44,6,370.72,47.78,109.01712,8.97,Laptop,5.4,7.64,45.96,Polypropylene
Stainless Steel,154.19,41.24,5,138.54,74.15,198.62325,6.65,Laptop,8.73,5.47,36.31,Stainless Steel
Silicon,261.44,1.0,6,62.5,47.46,175.41807,6.98,Electric Vehicle Battery Pack,9.82,6.03,57.48,Silicon
Copper,170.95,16.72,3,135.43,92.35,89.13475,12.58,Microwave Oven,8.78,8.12,39.62,Copper
Aluminum Alloy,487.0,2.97,10,248.64,18.92,302.90547,5.28,Laptop,7.15,2.95,102.4,Aluminum Alloy
Low Carbon Steel,313.91,57.4,10,50.0,66.21,195.27862,6.99,Tablet,10.0,5.55,69.77,Low Carbon Steel
Aluminum Alloy,91.68,11.6,2,53.79,31.07,114.38751,8.02,Laptop,9.95,7.51,21.86,Aluminum Alloy
Glass,324.24,28.11,6,236.38,54.18,239.15539,9.92,Microwave Oven,7.33,4.49,69.74,Glass
Lithium-ion Battery Material,301.55,1.0,5,289.95,74.29,163.25038,8.39,LED TV,6.56,6.33,65.35,Lithium-ion Battery Material
Silicon,376.38,35.5,5,414.21,54.43,261.54814,6.78,Washing Machine,4.78,3.95,79.36,Silicon
Carbon Fiber Composite,411.74,38.44,10,210.26,72.51,283.52481,10.41,Hair Dryer,7.7,3.42,89.06,Carbon Fiber Composite
Silicon,243.99,39.48,10,538.76,85.41,172.035,7.4,Smartphone,3.0,6.11,54.96,Silicon
Stainless Steel,171.93,22.69,7,157.84,32.35,92.55209,5.71,Refrigerator,8.45,8.03,39.15,Stainless Steel
Glass,320.26,15.93,6,374.67,67.85,199.98232,9.07,Washing Machine,5.35,5.44,68.96,Glass
Glass,561.72,24.06,7,220.81,38.82,316.07926,7.38,Hair Dryer,7.55,2.63,117.12,Glass
Stainless Steel,170.26,54.38,1,425.71,47.55,103.74474,7.09,LED TV,4.62,7.76,36.7,Stainless Steel
Copper,129.5,30.16,7,151.74,57.82,154.2344,8.53,Hair Dryer,8.54,6.54,31.44,Copper
Carbon Fiber Composite,130.2,15.99,8,320.95,74.38,109.8029,8.15,Laptop,6.12,7.62,31.9,Carbon Fiber Composite
Silicon,527.17,36.95,10,183.82,66.21,266.75721,4.9,Laptop,8.08,3.83,112.04,Silicon
Copper,258.88,60.88,8,184.89,45.88,208.92827,7.84,Microwave Oven,8.07,5.22,57.17,Copper
Glass,420.46,22.1,4,281.42,19.69,237.02851,5.87,Tablet,6.68,4.54,87.22,Glass
Silicon,325.95,38.8,8,452.84,42.68,163.475,6.81,Air Conditioner,4.23,6.32,69.72,Silicon
Low Carbon Steel,315.22,22.35,3,50.0,45.41,164.27722,9.84,Hair Dryer,10.0,6.3,67.31,Low Carbon Steel
Silicon,99.12,11.78,1,358.16,60.14,94.74909,9.14,LED TV,5.58,7.98,23.04,Silicon
ABS Plastic,255.19,33.02,9,310.41,69.61,190.49595,5.24,Laptop,6.27,5.67,57.08,ABS Plastic
Aluminum Alloy,492.03,39.38,10,469.15,74.57,303.65505,4.11,Microwave Oven,3.99,2.93,104.44,Aluminum Alloy
Lithium-ion Battery Material,109.73,37.92,5,138.03,39.27,129.07997,12.15,Refrigerator,8.74,7.15,26.37,Lithium-ion Battery Material
Carbon Fiber Composite,238.63,1.0,10,383.21,42.56,177.91435,9.89,Washing Machine,5.23,5.97,53.05,Carbon Fiber Composite
Stainless Steel,438.08,39.36,4,284.09,54.85,256.78622,10.47,LED TV,6.65,4.07,91.79,Stainless Steel
Lithium-ion Battery Material,178.61,7.68,3,638.74,68.82,195.98529,6.39,Refrigerator,1.56,5.53,39.0,Lithium-ion Battery Material
Low Carbon Steel,203.09,27.08,5,67.89,77.46,134.16414,6.92,Refrigerator,9.74,7.03,46.39,Low Carbon Steel
ABS Plastic,382.89,43.64,7,222.77,72.55,204.25213,6.54,Laptop,7.52,5.34,82.36,ABS Plastic
Polypropylene,221.92,27.09,6,293.23,52.73,192.27361,6.15,LED TV,6.52,5.62,49.07,Polypropylene
Glass,457.05,52.47,3,263.03,51.93,238.55821,6.05,Washing Machine,6.95,4.51,95.26,Glass
Stainless Steel,76.24,25.48,4,311.35,80.45,47.98,7.14,Air Conditioner,6.26,9.11,20.11,Stainless Steel
Copper,335.0,32.44,6,135.01,46.81,217.85313,9.71,LED TV,8.78,5.01,71.96,Copper
ABS Plastic,102.73,24.8,4,248.59,15.72,77.86527000000001,6.8,Refrigerator,7.15,8.39,23.65,ABS Plastic
Aluminum Alloy,169.71,17.18,3,245.22,58.46,160.37192,7.31,Tablet,7.2,6.39,38.04,Aluminum Alloy
Silicon,199.73,31.6,4,50.0,89.63,158.82145,8.49,Microwave Oven,10.0,6.43,45.83,Silicon
Carbon Fiber Composite,219.18,1.0,3,277.77,45.8,155.0884,7.26,Tablet,6.74,6.52,47.46,Carbon Fiber Composite
Aluminum Alloy,78.86,23.1,7,443.31,72.85,98.48233,3.07,Refrigerator,4.36,7.89,20.93,Aluminum Alloy
ABS Plastic,130.56,22.42,8,464.77,56.29,71.46129,8.72,LED TV,4.06,8.54,31.01,ABS Plastic
Silicon,485.54,21.15,6,99.44,61.74,313.55988,10.51,Hair Dryer,9.29,2.7,102.62,Silicon
Lithium-ion Battery Material,402.96,16.11,10,505.4,65.18,229.58426,7.84,Tablet,3.48,4.72,86.24,Lithium-ion Battery Material
Silicon,211.2,37.64,8,413.24,54.92,185.69521,4.12,Refrigerator,4.8,5.78,47.25,Silicon
Copper,170.72,10.44,4,559.13,36.52,109.81677,9.95,Tablet,2.71,7.62,36.98,Copper
Aluminum Alloy,193.47,26.75,5,107.16,26.32,153.94525000000002,9.76,Washing Machine,9.18,6.55,42.82,Aluminum Alloy
Low Carbon Steel,265.93,5.64,3,438.45,40.88,223.60614,9.48,Microwave Oven,4.43,4.87,56.2,Low Carbon Steel
Lithium-ion Battery Material,333.79,9.01,4,695.9,61.42,243.66197,7.19,Laptop,0.75,4.38,69.95,Lithium-ion Battery Material
Glass,185.77,48.04,4,439.61,50.0,152.60782,9.96,Refrigerator,4.42,6.58,40.74,Glass
Low Carbon Steel,452.28,18.2,3,285.74,63.75,340.77941,11.57,Tablet,6.62,2.04,94.59,Low Carbon Steel
Low Carbon Steel,199.12,32.37,5,265.64,38.56,209.36567,5.73,LED TV,6.91,5.21,43.86,Low Carbon Steel
Copper,310.72,9.34,6,388.92,92.61,155.86518,7.99,Washing Machine,5.14,6.5,67.75,Copper
Polypropylene,193.1,3.75,3,50.0,34.67,169.43209,7.57,Laptop,10.0,6.18,42.56,Polypropylene
Stainless Steel,416.13,48.0,4,481.91,40.5,282.63991,6.75,Air Conditioner,3.81,3.44,86.4,Stainless Steel
Lithium-ion Battery Material,603.55,4.25,6,435.26,37.04,348.48286,9.57,Microwave Oven,4.48,1.85,124.52,Lithium-ion Battery Material
Copper,321.97,14.94,5,125.83,60.22,245.13209,8.03,Electric Vehicle Battery Pack,8.91,4.35,69.48,Copper
Aluminum Alloy,234.78,25.51,9,410.36,48.46,153.95325,9.81,Smartphone,4.84,6.55,52.08,Aluminum Alloy
Lithium-ion Battery Material,315.23,14.4,7,354.49,30.64,235.83377,6.65,Smartphone,5.64,4.57,67.19,Lithium-ion Battery Material
Polypropylene,41.23,7.27,3,449.4,57.48,53.60485,6.6,Hair Dryer,4.28,8.97,11.73,Polypropylene
ABS Plastic,382.93,21.68,7,162.4,84.75,194.54884,7.29,LED TV,8.39,5.57,82.91,ABS Plastic
Lithium-ion Battery Material,280.5,22.71,9,248.1,48.14,207.13684,7.35,Smartphone,7.16,5.27,61.68,Lithium-ion Battery Material
Polypropylene,351.65,13.17,2,506.01,41.73,233.65,8.64,Hair Dryer,3.47,4.63,72.88,Polypropylene
Polypropylene,405.85,34.2,6,357.82,70.07,245.78692,7.43,Electric Vehicle Battery Pack,5.59,4.33,86.19,Polypropylene
ABS Plastic,234.29,30.6,6,309.61,84.91,141.91509,7.12,Washing Machine,6.28,6.84,52.46,ABS Plastic
Carbon Fiber Composite,251.12,21.58,7,88.95,81.42,184.19811,8.8,Refrigerator,9.44,5.82,56.65,Carbon Fiber Composite
Copper,301.34,39.37,7,399.53,62.63,209.17,5.95,Electric Vehicle Battery Pack,4.99,5.22,65.24,Copper
Polypropylene,152.79,42.78,10,109.45,89.05,135.39364,7.31,Smartphone,9.15,7.0,38.06,Polypropylene
Carbon Fiber Composite,237.66,45.95,2,125.12,45.7,174.47641,7.78,Electric Vehicle Battery Pack,8.92,6.05,51.29,Carbon Fiber Composite
Silicon,310.84,40.98,10,261.29,64.83,230.87606,10.54,Microwave Oven,6.97,4.69,68.51,Silicon
Lithium-ion Battery Material,286.32,1.0,4,249.86,21.67,195.79145,9.79,Hair Dryer,7.14,5.54,60.54,Lithium-ion Battery Material
Lithium-ion Battery Material,300.63,45.26,6,287.24,54.68,191.2598,5.77,Refrigerator,6.6,5.65,64.89,Lithium-ion Battery Material
Lithium-ion Battery Material,344.79,9.82,3,367.32,63.02,176.11215,5.64,Air Conditioner,5.45,6.01,72.84,Lithium-ion Battery Material
Aluminum Alloy,389.73,38.43,3,50.0,78.34,283.38895,7.61,Hair Dryer,10.0,3.42,83.2,Aluminum Alloy
Lithium-ion Battery Material,377.63,35.42,8,345.16,20.48,202.14726,3.88,Tablet,5.77,5.39,79.69,Lithium-ion Battery Material
Carbon Fiber Composite,287.45,33.68,9,369.01,80.11,189.99056,11.08,Refrigerator,5.43,5.68,63.68,Carbon Fiber Composite
Copper,195.49,53.83,6,50.0,48.13,185.56513,7.01,Laptop,10.0,5.79,44.34,Copper
